ID Calon Mahasiswa,Nilai Tes Potensi Skolastik,Nilai Literasi Bahasa Indonesia,Nilai Literasi Bahasa Inggris,Nilai Penalaran Matematika,Nilai Total,Nilai Rerata
CM000081,61,26,69,72,228,57
CM000082,98,94,41,41,274,68
CM000083,60,29,24,62,175,43
CM000084,73,55,72,49,249,62
CM000085,94,84,71,100,349,87
CM000086,25,51,89,12,177,44
CM000087,27,100,78,83,288,72
CM000088,82,39,82,85,288,72
CM000089,42,43,82,54,221,55
CM000091,24,64,64,45,197,49
CM000092,100,82,27,32,241,60
CM000093,45,28,20,44,137,34
CM000094,85,18,33,67,203,50
CM000095,57,37,38,63,195,48
CM000096,30,89,12,61,192,48
CM000097,75,87,8,35,205,51
CM000098,37,22,1,37,97,24
CM000099,74,53,55,66,248,62
CM000100,67,78,54,88,287,71
CM000101,51,13,87,56,207,51
CM000102,69,45,60,62,236,59
CM000103,48,21,49,49,167,41
CM000104,70,54,78,96,298,74
CM000106,33,3,76,39,151,37
CM000107,36,56,65,56,213,53
CM000108,87,72,2,73,234,58
CM000109,9,49,42,47,147,36
CM000110,84,34,76,14,208,52
CM000111,44,45,18,15,122,30
CM000112,57,89,18,21,185,46
CM000113,6,63,73,37,179,44
CM000114,43,45,11,84,183,45
CM000116,32,98,17,22,169,42
CM000117,42,54,89,3,188,47
CM000118,60,75,12,65,212,53
CM000119,81,55,29,25,190,47
CM000120,92,81,75,4,252,63
CM000121,61,13,78,54,206,51
CM000122,2,11,3,7,23,5
CM000123,92,45,62,59,258,64
CM000124,35,51,68,9,163,40
CM000125,24,65,46,66,201,50
CM000126,29,74,89,4,196,49
CM000127,84,84,73,91,332,83
CM000128,92,21,22,71,206,51
CM000129,27,35,44,38,144,36
CM000130,6,94,69,68,237,59
CM000131,11,66,24,46,147,36
CM000132,81,57,90,84,312,78
CM000133,61,31,14,69,175,43
CM000134,61,57,93,49,260,65
CM000135,92,52,75,59,278,69
CM000136,12,47,21,15,95,23
CM000137,81,63,29,36,209,52
CM000138,64,40,95,33,232,58
CM000139,42,61,46,94,243,60
CM000140,40,29,3,5,77,19
CM000141,3,71,31,99,204,51
CM000142,76,3,54,11,144,36
CM000144,26,93,95,86,300,75
CM000145,54,29,77,62,222,55
CM000146,91,99,31,39,260,65
CM000147,42,30,97,14,183,45
CM000148,82,42,62,76,262,65
CM000149,73,63,23,51,210,52
CM000150,61,52,19,23,155,38
CM000151,3,4,6,21,34,8
CM000152,2,46,62,32,142,35
CM000153,71,59,65,11,206,51
CM000154,35,54,69,12,170,42
CM000155,78,59,4,17,158,39
CM000156,47,59,23,13,142,35
CM000157,97,20,71,34,222,55
CM000158,96,37,14,88,235,58
CM000159,47,66,32,1,146,36
CM000160,20,37,34,56,147,36
CM000161,28,52,32,92,204,51
CM000162,43,22,83,0,148,37
CM000163,71,84,96,61,312,78
CM000164,87,23,90,85,285,71
CM000165,4,90,3,90,187,46
CM000166,90,55,82,49,276,69
CM000167,27,50,16,15,108,27
CM000168,39,13,43,39,134,33
CM000169,27,81,75,59,242,60
CM000170,31,69,34,87,221,55
CM000171,50,13,16,85,164,41
CM000172,99,3,14,65,181,45
CM000173,74,3,17,39,133,33
CM000174,53,14,57,35,159,39
CM000175,79,16,30,87,212,53
CM000176,67,19,99,63,248,62
CM000177,11,90,43,77,221,55
CM000178,93,66,28,98,285,71
CM000179,91,55,51,48,245,61
CM000180,90,50,3,25,168,42
CM000181,26,4,79,26,135,33
CM000182,50,54,14,12,130,32
CM000183,70,19,67,75,231,57
CM000184,45,77,64,73,259,64
CM000185,66,95,19,21,201,50
CM000186,38,57,89,17,201,50
CM000187,8,68,8,9,93,23
CM000188,0,53,99,34,186,46
CM000189,50,37,18,67,172,43
CM000190,29,94,58,2,183,45
CM000191,52,58,52,51,213,53
CM000192,32,46,90,86,254,63
CM000193,5,15,29,39,88,22
CM000194,7,67,79,12,165,41
CM000195,38,37,12,56,143,35
CM000196,97,55,27,55,234,58
CM000197,40,9,3,36,88,22
CM000198,54,40,86,37,217,54
CM000199,38,3,39,88,168,42
CM000200,83,35,45,10,173,43
CM000201,25,80,2,63,170,42
CM000202,64,60,15,88,227,56
CM000203,43,49,99,85,276,69
CM000204,7,95,72,97,271,67
CM000205,48,39,30,85,202,50
CM000206,82,71,90,20,263,65
CM000207,74,28,1,50,153,38
CM000208,62,4,55,84,205,51
CM000209,51,47,79,97,274,68
CM000210,38,10,5,2,55,13
CM000211,68,93,29,48,238,59
CM000212,65,36,1,31,133,33
CM000213,50,47,58,87,242,60
CM000214,65,43,95,51,254,63
CM000215,97,96,66,75,334,83
CM000216,2,53,87,87,229,57
CM000217,73,54,55,24,206,51
CM000218,1,76,6,13,96,24
CM000219,11,99,60,37,207,51
CM000220,25,43,43,34,145,36
CM000221,28,59,70,100,257,64
CM000222,22,42,16,99,179,44
CM000223,70,47,45,77,239,59
CM000224,7,20,53,17,97,24
CM000225,54,48,51,23,176,44
CM000226,5,74,70,12,161,40
CM000227,97,64,75,92,328,82
CM000228,54,17,100,96,267,66
CM000230,89,27,75,71,262,65
CM000231,21,16,51,15,103,25
CM000232,83,19,64,2,168,42
CM000233,88,44,24,81,237,59
CM000234,98,30,49,2,179,44
CM000235,82,6,84,79,251,62
CM000236,96,88,62,60,306,76
CM000237,66,62,60,14,202,50
CM000238,4,72,39,20,135,33
CM000239,61,35,2,7,105,26
CM000240,12,94,72,22,200,50
CM000241,61,15,46,39,161,40
CM000242,11,91,48,1,151,37
CM000243,67,78,29,17,191,47
CM000244,8,14,61,45,128,32
CM000245,75,14,32,32,153,38
CM000246,53,63,40,39,195,48
CM000247,89,14,84,95,282,70
CM000248,86,58,56,83,283,70
CM000249,14,18,5,38,75,18
CM000250,13,0,3,40,56,14
CM000252,59,52,11,69,191,47
CM000253,57,30,73,30,190,47
CM000254,38,86,56,65,245,61
CM000255,55,40,13,67,175,43
CM000256,4,95,70,19,188,47
CM000257,21,23,17,70,131,32
CM000258,63,67,86,27,243,60
CM000259,72,10,20,44,146,36
CM000260,25,22,41,77,165,41
CM000261,38,6,54,4,102,25
CM000262,49,47,47,22,165,41
CM000263,13,87,75,72,247,61
CM000264,71,29,99,98,297,74
CM000265,80,4,88,47,219,54
CM000266,55,100,24,42,221,55
CM000267,9,47,41,84,181,45
CM000268,7,5,79,97,188,47
CM000269,0,5,22,70,97,24
CM000270,45,5,6,62,118,29
CM000271,20,48,81,38,187,46
CM000272,83,80,21,13,197,49
CM000273,33,92,62,8,195,48
CM000274,32,61,83,71,247,61
CM000275,19,86,4,59,168,42
CM000276,48,65,93,84,290,72
CM000277,12,26,61,8,107,26
CM000278,59,22,60,42,183,45
CM000279,69,35,46,17,167,41
CM000280,76,56,51,63,246,61
CM000281,67,56,86,85,294,73
CM000283,68,67,70,22,227,56
CM000284,55,48,78,39,220,55
CM000285,90,82,16,73,261,65
CM000286,60,41,29,35,165,41
CM000287,57,22,62,73,214,53
CM000288,67,40,76,93,276,69
CM000289,2,12,99,80,193,48
CM000290,36,66,50,29,181,45
CM000291,76,31,54,72,233,58
CM000292,81,67,79,11,238,59
CM000293,61,20,1,22,104,26
CM000294,91,16,2,42,151,37
CM000295,29,98,59,54,240,60
CM000296,49,42,21,79,191,47
CM000297,46,76,18,57,197,49
CM000298,82,57,51,0,190,47
CM000299,83,75,43,1,202,50
CM000300,74,80,80,60,294,73
CM000301,70,94,37,98,299,74
CM000302,33,65,45,30,173,43
CM000303,63,81,54,8,206,51
CM000304,7,25,53,26,111,27
CM000305,88,12,96,64,260,65
CM000306,54,4,30,18,106,26
CM000307,6,35,58,20,119,29
CM000308,10,53,69,10,142,35
CM000309,53,1,23,86,163,40
CM000310,77,35,92,44,248,62
CM000311,15,41,45,49,150,37
CM000312,66,18,77,41,202,50
CM000313,93,41,2,55,191,47
CM000314,75,87,96,62,320,80
CM000315,9,33,53,10,105,26
CM000316,88,100,37,64,289,72
CM000317,36,70,64,86,256,64
CM000318,13,90,41,13,157,39
CM000319,30,1,65,15,111,27
CM000320,26,7,86,94,213,53
CM000321,86,98,62,54,300,75
CM000322,70,80,68,37,255,63
CM000323,57,58,49,12,176,44
CM000324,36,58,43,75,212,53
CM000325,97,28,36,18,179,44
CM000326,36,28,83,15,162,40
CM000327,17,18,79,54,168,42
CM000328,14,97,44,50,205,51
CM000329,86,63,28,68,245,61
CM000330,52,90,19,68,229,57
CM000331,83,37,77,40,237,59
CM000332,10,79,42,78,209,52
CM000333,3,84,38,7,132,33
CM000334,5,23,72,58,158,39
CM000335,25,30,92,17,164,41
CM000336,9,89,20,11,129,32
CM000337,82,0,91,83,256,64
CM000338,37,40,55,43,175,43
CM000339,33,28,77,3,141,35
CM000340,23,31,12,51,117,29
CM000341,41,28,81,66,216,54
CM000342,83,21,89,31,224,56
CM000343,2,77,22,30,131,32
CM000344,16,71,7,32,126,31
CM000345,20,85,50,83,238,59
CM000346,82,91,24,70,267,66
CM000347,32,45,82,86,245,61
CM000348,14,85,59,37,195,48
CM000349,96,72,9,97,274,68
CM000350,12,37,56,1,106,26
CM000351,33,24,47,51,155,38
CM000352,35,54,83,84,256,64
CM000353,52,5,88,65,210,52
CM000354,3,85,90,69,247,61
CM000355,77,1,95,62,235,58
CM000356,3,59,96,3,161,40
CM000357,4,99,14,17,134,33
CM000358,60,66,81,5,212,53
CM000359,20,26,61,3,110,27
CM000360,21,7,38,25,91,22
CM000361,33,48,58,56,195,48
CM000362,77,89,4,15,185,46
CM000363,11,73,18,97,199,49
CM000364,9,43,81,43,176,44
CM000365,82,10,64,79,235,58
CM000366,16,76,83,89,264,66
CM000367,2,11,27,83,123,30
CM000368,3,23,59,67,152,38
CM000369,33,34,56,47,170,42
CM000370,6,77,90,81,254,63
CM000371,74,12,5,10,101,25
CM000372,16,8,97,64,185,46
CM000373,92,30,51,95,268,67
CM000374,84,90,34,36,244,61
CM000375,42,69,58,52,221,55
CM000376,51,32,73,51,207,51
CM000377,94,1,35,58,188,47
CM000378,0,9,74,25,108,27
CM000379,55,33,46,78,212,53
CM000380,72,11,47,83,213,53
CM000381,40,74,90,35,239,59
CM000382,99,40,54,21,214,53
CM000383,57,79,13,45,194,48
CM000384,78,17,57,76,228,57
CM000385,78,55,47,78,258,64
CM000386,0,50,74,32,156,39
CM000387,4,4,64,71,143,35
CM000388,51,48,7,1,107,26
CM000389,37,90,15,36,178,44
CM000390,32,47,97,33,209,52
CM000391,36,47,22,0,105,26
CM000392,15,69,70,15,169,42
CM000393,15,89,45,20,169,42
CM000394,3,47,47,32,129,32
CM000395,19,51,71,15,156,39
CM000396,16,91,69,39,215,53
CM000397,45,49,83,76,253,63
CM000398,79,42,93,80,294,73
CM000399,70,81,61,15,227,56
CM000400,0,97,19,72,188,47
CM000401,71,8,75,87,241,60
CM000402,34,46,35,89,204,51
CM000403,37,4,59,85,185,46
CM000404,100,28,21,12,161,40
CM000405,79,75,57,89,300,75
CM000406,16,87,58,89,250,62
CM000407,99,58,11,66,234,58
CM000408,70,41,13,34,158,39
CM000409,18,83,93,74,268,67
CM000410,63,3,69,94,229,57
CM000411,90,95,1,77,263,65
CM000412,47,66,76,39,228,57
CM000413,61,53,7,19,140,35
CM000414,88,98,38,35,259,64
CM000415,17,26,52,21,116,29
CM000416,93,8,23,28,152,38
CM000417,52,97,28,26,203,50
CM000418,22,13,40,48,123,30
CM000419,85,100,42,90,317,79
CM000420,91,43,64,86,284,71
CM000421,63,41,37,64,205,51
CM000422,53,33,35,49,170,42
CM000423,75,55,25,85,240,60
CM000424,87,31,69,67,254,63
CM000425,4,45,39,33,121,30
CM000426,65,60,20,1,146,36
CM000427,0,16,18,41,75,18
CM000428,63,35,26,3,127,31
CM000429,13,62,23,50,148,37
CM000430,7,53,79,48,187,46
CM000431,33,69,24,0,126,31
CM000432,56,30,82,82,250,62
CM000433,20,10,89,29,148,37
CM000434,96,53,86,86,321,80
CM000435,41,10,66,32,149,37
CM000436,75,22,64,80,241,60
CM000437,44,53,97,50,244,61
CM000438,72,17,75,18,182,45
CM000439,71,15,49,77,212,53
CM000440,48,93,91,45,277,69
CM000441,83,10,35,55,183,45
CM000442,9,86,74,13,182,45
CM000443,40,1,76,11,128,32
CM000444,14,21,91,28,154,38
CM000445,57,51,42,22,172,43
CM000446,67,95,71,5,238,59
CM000447,5,10,11,32,58,14
CM000448,45,53,37,59,194,48
CM000449,6,87,29,89,211,52
CM000450,67,33,22,54,176,44
CM000451,20,92,96,39,247,61
CM000452,38,32,31,21,122,30
CM000453,86,51,29,46,212,53
CM000454,9,82,57,6,154,38
CM000455,80,15,12,25,132,33
CM000456,25,4,72,18,119,29
CM000457,59,44,43,75,221,55
CM000458,78,10,13,96,197,49
CM000459,40,72,69,36,217,54
CM000460,17,87,27,7,138,34
CM000461,52,8,93,33,186,46
CM000462,4,66,90,81,241,60
CM000463,22,86,24,59,191,47
CM000464,37,49,33,20,139,34
CM000465,65,59,95,83,302,75
CM000466,67,21,88,39,215,53
CM000467,15,47,19,61,142,35
CM000468,97,37,93,76,303,75
CM000469,98,42,37,64,241,60
CM000470,50,72,49,15,186,46
CM000471,47,37,20,14,118,29
CM000472,42,40,31,4,117,29
CM000473,44,15,85,32,176,44
CM000474,12,2,41,7,62,15
CM000475,15,70,65,62,212,53
CM000476,49,92,63,37,241,60
CM000477,79,71,13,59,222,55
CM000478,13,65,56,76,210,52
CM000479,13,62,95,99,269,67
CM000480,4,12,50,94,160,40
CM000481,36,2,74,13,125,31
CM000482,13,80,20,22,135,33
CM000483,88,4,64,20,176,44
CM000484,49,74,20,54,197,49
CM000485,12,25,34,53,124,31
CM000486,21,87,92,100,300,75
CM000487,84,81,26,20,211,52
CM000488,42,3,13,62,120,30
CM000489,3,86,90,78,257,64
CM000490,72,43,45,18,178,44
CM000491,56,37,54,63,210,52
CM000492,82,7,86,24,199,49
CM000493,4,65,24,83,176,44
CM000494,21,70,8,58,157,39
CM000495,38,26,14,39,117,29
CM000496,38,75,6,68,187,46
CM000497,6,47,87,75,215,53
CM000498,64,94,0,33,191,47
CM000499,60,54,34,90,238,59
CM000500,61,51,9,11,132,33
CM000501,87,18,82,93,280,70
CM000502,74,18,71,10,173,43
CM000503,6,74,68,81,229,57
CM000504,33,44,50,69,196,49
CM000505,92,65,61,5,223,55
CM000506,38,34,24,79,175,43
CM000507,6,34,76,30,146,36
CM000508,53,9,22,86,170,42
CM000509,79,62,57,74,272,68
CM000510,60,2,24,4,90,22
CM000511,45,28,86,80,239,59
CM000512,5,71,51,100,227,56
CM000513,41,56,34,75,206,51
CM000514,26,28,93,98,245,61
CM000515,54,94,31,6,185,46
CM000516,20,39,29,72,160,40
CM000517,84,27,33,18,162,40
CM000518,25,46,30,0,101,25
CM000519,48,60,90,12,210,52
CM000520,90,42,89,97,318,79
CM000521,5,85,64,89,243,60
CM000522,92,45,26,7,170,42
CM000523,15,91,30,67,203,50
CM000524,94,60,78,78,310,77
CM000525,20,20,57,34,131,32
CM000526,18,62,76,36,192,48
CM000527,71,25,97,97,290,72
CM000528,32,7,45,37,121,30
CM000529,98,35,98,50,281,70
CM000530,80,92,28,45,245,61
CM000531,30,25,21,93,169,42
CM000532,69,73,4,93,239,59
CM000533,0,74,98,37,209,52
CM000534,87,62,95,44,288,72
CM000535,21,82,56,65,224,56
CM000536,87,95,67,47,296,74
CM000537,33,64,5,2,104,26
CM000538,10,89,16,23,138,34
CM000539,12,24,31,35,102,25
CM000540,85,57,64,72,278,69
CM000541,96,68,86,62,312,78
CM000542,20,44,39,83,186,46
CM000543,55,43,69,99,266,66
CM000544,59,61,96,38,254,63
CM000545,17,15,25,2,59,14
CM000546,76,51,53,73,253,63
CM000547,67,82,62,34,245,61
CM000548,50,47,69,67,233,58
CM000549,59,30,37,35,161,40
CM000550,59,53,72,57,241,60
CM000551,63,18,60,54,195,48
CM000552,19,26,47,67,159,39
CM000553,69,47,28,19,163,40
CM000554,98,4,41,83,226,56
CM000555,85,29,40,67,221,55
CM000556,34,0,26,34,94,23
CM000557,89,44,75,76,284,71
CM000558,51,4,91,27,173,43
CM000560,11,93,17,37,158,39
CM000561,90,11,58,46,205,51
CM000562,7,3,49,74,133,33
CM000563,60,28,56,12,156,39
CM000564,4,59,72,16,151,37
CM000565,47,7,11,69,134,33
CM000566,70,13,2,66,151,37
CM000567,91,57,80,54,282,70
CM000568,70,33,57,30,190,47
CM000569,37,78,0,35,150,37
CM000570,59,58,31,89,237,59
CM000571,55,85,90,97,327,81
CM000572,26,94,35,47,202,50
CM000573,93,54,79,69,295,73
CM000574,42,46,32,99,219,54
CM000575,74,36,71,15,196,49
CM000576,5,82,15,42,144,36
CM000577,43,94,32,64,233,58
CM000578,5,100,68,71,244,61
CM000579,63,26,30,98,217,54
CM000580,91,20,72,82,265,66
CM000581,79,56,88,70,293,73
CM000582,27,81,96,36,240,60
CM000583,16,90,15,2,123,30
CM000584,16,70,74,72,232,58
CM000585,86,17,94,58,255,63
CM000586,50,49,46,21,166,41
CM000587,96,0,87,52,235,58
CM000588,11,57,95,12,175,43
CM000589,61,30,47,72,210,52
CM000590,55,11,80,53,199,49
CM000591,3,0,51,32,86,21
CM000592,41,72,54,54,221,55
CM000593,53,91,17,52,213,53
CM000594,39,36,41,54,170,42
CM000595,82,35,24,87,228,57
CM000596,2,62,51,13,128,32
CM000597,87,58,69,37,251,62
CM000598,35,24,72,16,147,36
CM000599,82,74,70,25,251,62
CM000600,44,34,12,62,152,38
CM000601,76,17,40,71,204,51
CM000602,60,91,5,43,199,49
CM000603,50,48,18,41,157,39
CM000604,14,59,65,23,161,40
CM000605,48,74,14,45,181,45
CM000606,95,32,52,61,240,60
CM000607,54,25,52,75,206,51
CM000608,36,33,60,64,193,48
CM000609,31,34,33,49,147,36
CM000610,55,100,57,27,239,59
CM000611,5,48,55,98,206,51
CM000612,33,1,79,58,171,42
CM000613,4,16,81,38,139,34
CM000614,43,97,16,17,173,43
CM000615,48,71,24,71,214,53
CM000616,100,96,54,38,288,72
CM000617,3,23,3,56,85,21
CM000618,53,21,26,89,189,47
CM000619,51,5,13,55,124,31
CM000620,0,43,94,94,231,57
CM000621,79,86,34,92,291,72
CM000622,89,15,24,33,161,40
CM000623,69,9,20,64,162,40
CM000624,90,7,22,89,208,52
CM000625,15,3,1,77,96,24
CM000626,99,96,78,0,273,68
CM000627,60,20,31,21,132,33
CM000628,34,78,17,61,190,47
CM000629,31,6,65,41,143,35
CM000630,40,96,47,79,262,65
CM000631,42,100,65,22,229,57
CM000632,60,11,62,82,215,53
CM000633,57,38,63,50,208,52
CM000634,92,5,14,68,179,44
CM000635,34,78,84,50,246,61
CM000636,45,97,50,37,229,57
CM000637,4,91,49,42,186,46
CM000638,42,94,87,62,285,71
CM000639,95,55,19,75,244,61
CM000640,95,18,43,46,202,50
CM000641,1,88,27,18,134,33
CM000642,73,5,93,48,219,54
CM000643,33,87,55,92,267,66
CM000644,29,96,16,87,228,57
CM000645,8,4,21,78,111,27
CM000646,87,50,81,46,264,66
CM000647,61,36,76,66,239,59
CM000648,72,84,6,3,165,41
CM000649,75,75,66,2,218,54
CM000650,65,31,11,78,185,46
CM000651,27,64,90,17,198,49
CM000652,60,55,20,14,149,37
CM000653,6,46,91,33,176,44
CM000654,51,8,65,82,206,51
CM000656,83,27,9,39,158,39
CM000657,58,66,77,31,232,58
CM000658,87,11,50,77,225,56
CM000659,43,3,77,66,189,47
CM000660,47,23,25,34,129,32
CM000661,82,46,22,94,244,61
CM000662,72,98,97,20,287,71
CM000663,51,70,55,71,247,61
CM000664,92,46,47,18,203,50
CM000665,63,25,50,18,156,39
CM000666,9,49,78,3,139,34
CM000667,88,11,24,95,218,54
CM000668,28,62,11,0,101,25
CM000669,31,22,2,29,84,21
CM000670,54,43,14,24,135,33
CM000671,94,3,77,78,252,63
CM000672,38,99,41,29,207,51
CM000673,44,6,23,3,76,19
CM000674,4,22,85,51,162,40
CM000675,41,44,61,90,236,59
CM000676,80,56,41,5,182,45
CM000677,93,69,79,100,341,85
CM000678,88,48,58,13,207,51
CM000679,3,78,23,17,121,30
CM000680,26,4,60,68,158,39
CM000681,64,93,16,38,211,52
CM000682,61,75,39,79,254,63
CM000683,10,39,12,37,98,24
CM000684,17,9,93,93,212,53
CM000685,91,14,37,69,211,52
CM000686,73,36,53,90,252,63
CM000687,11,34,84,57,186,46
CM000688,72,59,19,42,192,48
CM000689,9,67,41,89,206,51
CM000690,14,14,1,92,121,30
CM000691,100,19,71,33,223,55
CM000692,62,7,93,5,167,41
CM000694,80,48,80,58,266,66
CM000695,11,84,71,65,231,57
CM000696,33,95,24,69,221,55
CM000697,100,1,56,76,233,58
CM000698,80,86,81,34,281,70
CM000699,84,70,14,22,190,47
CM000700,57,77,11,22,167,41
CM000701,97,99,80,77,353,88
CM000702,55,83,22,4,164,41
CM000703,77,0,1,43,121,30
CM000704,0,90,46,3,139,34
CM000705,51,81,91,74,297,74
CM000706,30,80,30,84,224,56
CM000707,2,73,91,0,166,41
CM000708,35,58,46,23,162,40
CM000709,93,97,67,49,306,76
CM000710,42,89,82,98,311,77
CM000711,7,81,39,48,175,43
CM000712,59,70,55,56,240,60
CM000713,72,9,39,67,187,46
CM000714,19,13,89,11,132,33
CM000715,16,68,22,31,137,34
CM000716,80,94,51,16,241,60
CM000717,41,82,62,47,232,58
CM000718,70,54,37,4,165,41
CM000719,35,88,28,69,220,55
CM000720,37,87,20,9,153,38
CM000721,24,68,98,7,197,49
CM000722,9,69,86,100,264,66
CM000723,72,54,41,64,231,57
CM000724,34,45,57,80,216,54
CM000725,6,57,19,81,163,40
CM000726,34,66,85,17,202,50
CM000727,74,49,18,82,223,55
CM000728,22,47,91,87,247,61
CM000729,0,74,92,17,183,45
CM000730,97,49,75,100,321,80
CM000731,0,77,4,82,163,40
CM000732,88,62,100,17,267,66
CM000733,28,66,76,84,254,63
CM000734,24,99,62,97,282,70
CM000735,79,81,91,98,349,87
CM000736,89,88,53,1,231,57
CM000737,25,56,73,28,182,45
CM000738,79,70,92,69,310,77
CM000739,51,76,26,62,215,53
CM000740,4,61,18,71,154,38
CM000741,52,17,91,18,178,44
CM000742,50,74,7,59,190,47
CM000743,4,28,47,42,121,30
CM000744,40,78,59,39,216,54
CM000745,26,98,61,66,251,62
CM000746,32,17,47,20,116,29
CM000747,15,17,53,42,127,31
CM000748,4,55,62,81,202,50
CM000749,4,2,11,36,53,13
CM000750,38,94,13,56,201,50
CM000751,22,8,72,48,150,37
CM000752,18,53,41,54,166,41
CM000753,92,70,45,52,259,64
CM000754,39,80,99,68,286,71
CM000756,24,90,28,79,221,55
CM000757,80,29,24,45,178,44
CM000758,12,20,31,87,150,37
CM000761,72,39,17,14,142,35
CM000762,21,23,74,88,206,51
CM000763,74,75,24,22,195,48
CM000764,41,74,27,99,241,60
CM000765,21,25,81,28,155,38
CM000766,17,31,74,25,147,36
CM000767,66,67,92,96,321,80
CM000768,70,44,43,96,253,63
CM000769,53,88,47,51,239,59
CM000770,39,51,26,64,180,45
CM000771,16,80,58,59,213,53
CM000772,10,89,31,60,190,47
CM000773,78,44,31,23,176,44
CM000774,60,81,13,53,207,51
CM000775,27,33,43,91,194,48
CM000776,23,90,45,16,174,43
CM000777,20,68,20,94,202,50
CM000778,22,97,10,96,225,56
CM000779,15,59,8,78,160,40
CM000780,50,27,87,32,196,49
CM000781,59,14,75,13,161,40
CM000782,26,74,69,69,238,59
CM000783,83,89,43,58,273,68
CM000784,92,73,81,37,283,70
CM000785,80,15,79,27,201,50
CM000786,26,13,68,62,169,42
CM000787,31,57,53,40,181,45
CM000788,20,24,90,62,196,49
CM000789,60,57,42,90,249,62
CM000790,28,83,30,15,156,39
CM000791,3,14,70,83,170,42
CM000792,86,83,86,23,278,69
CM000793,5,79,57,34,175,43
CM000794,51,61,23,64,199,49
CM000795,67,30,46,13,156,39
CM000796,77,50,93,82,302,75
CM000797,17,63,12,48,140,35
CM000798,38,89,23,72,222,55
CM000799,5,72,35,33,145,36
CM000800,58,11,16,56,141,35
CM000801,23,55,59,23,160,40
CM000802,64,47,85,88,284,71
CM000803,17,61,52,27,157,39
CM000804,20,34,33,41,128,32
CM000805,86,100,97,51,334,83
CM000806,55,35,33,32,155,38
CM000807,63,4,46,82,195,48
CM000808,78,18,81,79,256,64
CM000809,87,17,59,33,196,49
CM000810,59,83,20,16,178,44
CM000811,74,21,92,19,206,51
CM000812,41,39,40,41,161,40
CM000813,38,55,92,35,220,55
CM000814,0,6,82,95,183,45
CM000815,14,69,39,80,202,50
CM000816,7,45,16,18,86,21
CM000817,95,23,50,61,229,57
CM000818,2,61,81,61,205,51
CM000819,40,13,73,74,200,50
CM000820,38,26,98,2,164,41
CM000821,97,85,50,95,327,81
CM000822,53,80,64,9,206,51
CM000823,78,82,40,3,203,50
CM000824,94,22,39,96,251,62
CM000825,21,30,63,49,163,40
CM000826,70,92,97,60,319,79
