ID Calon Mahasiswa,ID Jurusan Pilihan Pertama,ID Jurusan Pilihan Kedua,IPI Pilihan Jurusan Pertama,IPI Pilihan Jurusan Kedua
CM000128,53300,54476,1,3
CM000129,36547,12372,2,1
CM000130,24156,52609,2,2
CM000131,52609,36547,2,2
CM000132,24156,12372,2,1
CM000134,71411,16405,1,3
CM000135,62191,59278,1,1
CM000136,21970,93296,2,1
CM000137,54476,52609,1,2
CM000138,84822,37897,3,1
CM000139,54476,21970,1,2
CM000140,85798,48648,3,2
CM000141,59278,36547,2,2
CM000144,24156,84822,3,3
CM000145,36547,53300,1,1
CM000146,36547,12372,1,1
CM000149,62191,59278,1,1
CM000150,53300,79038,2,1
CM000151,54476,53300,2,3
CM000152,40389,16405,2,1
CM000153,79038,19071,2,3
CM000154,71411,21970,1,2
CM000155,71411,19071,2,3
CM000156,85798,93296,2,3
CM000157,59278,84822,2,3
CM000158,48648,43506,2,1
CM000159,19071,62191,1,2
CM000160,59278,12372,1,2
CM000162,16405,93296,1,2
CM000164,84822,37897,1,1
CM000165,84822,93296,1,3
CM000166,52609,36547,2,2
CM000167,70503,59278,1,2
CM000168,21970,93296,1,1
CM000169,36547,24156,3,1
CM000170,84822,24156,3,1
CM000171,52609,12372,2,3
CM000172,93296,62191,1,3
CM000173,21970,84822,2,1
CM000174,21970,40389,1,2
CM000175,93296,54476,3,2
CM000176,48648,12372,2,3
CM000177,48648,37897,2,2
CM000178,48648,12372,3,2
CM000179,84822,54476,1,3
CM000180,24156,70503,3,3
CM000181,19071,16405,2,2
CM000182,43506,37897,2,3
CM000183,52609,93296,2,1
CM000184,12372,62191,2,2
CM000185,71411,79038,1,2
CM000188,24156,59278,1,1
CM000189,19071,21970,1,1
CM000190,53300,85798,1,2
CM000191,71411,37897,2,2
CM000193,40389,21970,1,2
CM000194,37897,85798,1,1
CM000195,93296,70503,1,1
CM000196,16405,79038,3,2
CM000197,24156,37897,1,3
CM000198,59278,79038,3,1
CM000199,85798,62191,2,1
CM000200,19071,93296,3,3
CM000201,53300,21970,2,2
CM000202,70503,40389,1,3
CM000204,40389,93296,1,2
CM000205,79038,53300,2,1
CM000206,85798,79038,3,2
CM000207,48648,54476,1,3
CM000208,48648,40389,3,2
CM000209,37897,24156,2,3
CM000210,71411,12372,2,3
CM000211,85798,52609,1,2
CM000212,70503,40389,2,1
CM000214,36547,71411,2,1
CM000215,12372,54476,2,2
CM000216,71411,12372,1,2
CM000217,12372,37897,2,3
CM000218,21970,48648,1,2
CM000220,59278,36547,2,1
CM000221,54476,84822,1,2
CM000222,16405,43506,3,2
CM000223,62191,59278,3,2
CM000224,70503,53300,2,3
CM000225,79038,16405,1,1
CM000226,21970,40389,1,2
CM000227,21970,62191,2,1
CM000230,84822,70503,3,3
CM000231,16405,70503,2,3
CM000232,71411,36547,3,3
CM000233,21970,59278,3,3
CM000234,37897,48648,2,3
CM000235,70503,62191,2,2
CM000236,37897,84822,1,2
CM000237,40389,62191,1,1
CM000238,16405,84822,3,1
CM000239,36547,62191,1,3
CM000241,84822,79038,2,1
CM000243,59278,43506,2,3
CM000244,24156,59278,2,2
CM000245,36547,52609,1,2
CM000246,59278,16405,3,3
CM000247,24156,62191,2,2
CM000248,59278,93296,2,1
CM000252,24156,53300,1,3
CM000253,24156,19071,1,3
CM000254,59278,43506,3,2
CM000255,12372,54476,3,3
CM000256,71411,48648,1,2
CM000257,24156,59278,2,2
CM000258,93296,36547,1,2
CM000259,37897,70503,2,3
CM000260,59278,37897,2,3
CM000261,21970,93296,1,2
CM000262,24156,53300,1,3
CM000263,19071,85798,2,1
CM000264,85798,59278,3,1
CM000265,54476,59278,2,2
CM000266,84822,48648,2,2
CM000267,62191,19071,2,2
CM000268,16405,52609,2,3
CM000269,37897,59278,3,1
CM000270,62191,36547,2,1
CM000271,62191,21970,3,1
CM000272,36547,85798,2,3
CM000273,16405,52609,3,3
CM000274,16405,12372,2,1
CM000275,43506,79038,1,2
CM000276,84822,52609,3,1
CM000277,40389,19071,2,1
CM000278,85798,40389,1,3
CM000279,24156,59278,2,3
CM000280,36547,79038,1,2
CM000281,62191,37897,3,1
CM000283,93296,37897,3,3
CM000284,24156,93296,2,1
CM000285,36547,85798,1,3
CM000286,36547,21970,3,3
CM000287,48648,37897,1,1
CM000288,53300,19071,2,3
CM000289,24156,36547,3,2
CM000290,19071,24156,3,2
CM000291,62191,79038,2,3
CM000292,48648,36547,2,1
CM000293,59278,16405,2,1
CM000294,40389,37897,3,3
CM000295,52609,24156,1,1
CM000296,79038,19071,3,1
CM000297,71411,93296,3,1
CM000298,36547,40389,1,1
CM000299,71411,84822,3,3
CM000300,48648,36547,2,3
CM000301,37897,53300,3,1
CM000302,71411,59278,3,2
CM000303,19071,43506,3,1
CM000304,79038,40389,3,1
CM000306,12372,93296,3,3
CM000308,12372,85798,3,3
CM000309,62191,37897,3,2
CM000310,54476,40389,2,1
CM000311,43506,93296,3,2
CM000312,19071,12372,1,2
CM000313,40389,24156,1,1
CM000314,19071,21970,1,3
CM000315,85798,16405,1,2
CM000316,19071,21970,3,2
CM000317,40389,71411,3,2
CM000318,12372,16405,2,3
CM000319,54476,43506,1,3
CM000320,62191,79038,3,1
CM000321,48648,40389,1,3
CM000322,84822,70503,1,1
CM000323,37897,54476,1,2
CM000324,36547,70503,3,1
CM000325,21970,19071,1,1
CM000327,59278,79038,1,1
CM000328,40389,79038,1,3
CM000330,40389,48648,2,2
CM000331,79038,84822,2,1
CM000332,12372,53300,3,3
CM000333,62191,71411,2,2
CM000334,62191,52609,2,2
CM000335,37897,24156,3,3
CM000336,71411,53300,1,1
CM000337,40389,59278,1,2
CM000338,71411,93296,1,3
CM000339,79038,37897,2,1
CM000340,36547,59278,1,1
CM000342,53300,71411,1,3
CM000343,36547,40389,2,2
CM000346,59278,24156,1,3
CM000347,54476,93296,3,1
CM000348,21970,43506,3,3
CM000349,12372,24156,3,3
CM000351,43506,16405,1,1
CM000352,54476,53300,2,3
CM000353,53300,52609,2,2
CM000354,71411,43506,2,2
CM000355,59278,71411,2,2
CM000356,21970,93296,1,3
CM000357,12372,37897,1,3
CM000358,12372,71411,2,2
CM000359,62191,16405,1,1
CM000360,48648,54476,1,3
CM000362,71411,16405,2,3
CM000363,36547,59278,2,1
CM000365,70503,71411,3,3
CM000366,43506,54476,1,3
CM000367,54476,93296,2,2
CM000369,12372,21970,2,2
CM000370,84822,59278,2,2
CM000371,53300,71411,3,1
CM000372,36547,79038,1,2
CM000373,12372,37897,3,3
CM000374,16405,52609,3,2
CM000375,79038,84822,2,1
CM000376,40389,54476,3,2
CM000377,12372,52609,1,3
CM000378,52609,12372,1,3
CM000379,79038,37897,2,2
CM000380,71411,59278,2,2
CM000381,24156,21970,3,2
CM000382,52609,12372,1,2
CM000383,84822,62191,2,2
CM000384,43506,52609,2,1
CM000386,59278,24156,1,3
CM000387,37897,21970,2,3
CM000388,62191,79038,1,2
CM000390,19071,12372,3,1
CM000391,85798,40389,1,3
CM000392,40389,52609,3,3
CM000394,19071,40389,1,1
CM000395,85798,59278,3,1
CM000397,52609,36547,3,3
CM000398,53300,19071,3,3
CM000399,53300,59278,2,3
CM000400,16405,62191,2,3
CM000401,59278,71411,1,1
CM000402,70503,53300,1,3
CM000403,54476,40389,2,3
CM000404,21970,24156,2,2
CM000405,59278,84822,3,1
CM000406,54476,21970,3,2
CM000408,53300,54476,2,1
CM000409,52609,85798,3,1
CM000410,24156,12372,2,3
CM000411,40389,24156,1,2
CM000412,19071,21970,1,2
CM000413,54476,59278,1,3
CM000414,21970,54476,1,2
CM000416,24156,79038,3,2
CM000418,36547,24156,1,3
CM000419,12372,93296,1,2
CM000420,16405,85798,2,3
CM000421,12372,84822,2,1
CM000423,19071,85798,2,3
CM000424,53300,59278,2,3
CM000425,52609,62191,1,2
CM000426,36547,93296,2,3
CM000427,84822,16405,1,1
CM000428,53300,12372,2,3
CM000430,48648,37897,1,2
CM000431,19071,54476,3,1
CM000432,93296,84822,2,1
CM000433,59278,93296,2,1
CM000434,85798,12372,1,1
CM000435,52609,21970,3,1
CM000436,62191,19071,3,1
CM000437,84822,79038,1,1
CM000438,70503,52609,2,3
CM000439,12372,93296,1,3
CM000441,93296,16405,2,1
CM000443,84822,24156,3,2
CM000444,62191,24156,1,2
CM000446,85798,21970,1,2
CM000447,53300,59278,3,3
CM000448,53300,12372,1,1
CM000449,12372,85798,1,3
CM000450,93296,24156,3,1
CM000452,16405,54476,3,3
CM000454,62191,59278,3,2
CM000455,48648,19071,3,3
CM000456,62191,54476,1,3
CM000457,16405,54476,1,2
CM000459,53300,54476,3,2
CM000460,62191,24156,1,2
CM000461,43506,21970,2,3
CM000462,59278,48648,2,3
CM000463,93296,19071,2,3
CM000464,54476,71411,2,2
CM000466,52609,79038,3,3
CM000467,43506,79038,1,3
CM000468,16405,79038,2,1
CM000469,21970,93296,3,3
CM000470,71411,16405,3,1
CM000471,62191,79038,2,2
CM000472,71411,21970,2,3
CM000473,43506,62191,3,2
CM000474,36547,21970,1,3
CM000476,52609,37897,1,2
CM000478,85798,70503,3,3
CM000480,37897,53300,2,1
CM000482,36547,48648,2,2
CM000483,59278,70503,3,1
CM000486,79038,37897,1,1
CM000487,52609,53300,3,2
CM000488,19071,70503,1,2
CM000489,21970,70503,1,2
CM000490,84822,19071,2,3
CM000491,37897,70503,2,2
CM000492,21970,43506,2,1
CM000493,93296,16405,1,2
CM000494,24156,71411,1,2
CM000495,16405,93296,1,1
CM000496,40389,93296,3,2
CM000497,53300,24156,2,2
CM000498,59278,36547,1,2
CM000499,40389,59278,1,2
CM000500,54476,19071,2,1
CM000501,59278,24156,2,3
CM000502,93296,52609,2,1
CM000503,85798,84822,1,2
CM000504,37897,19071,3,3
CM000506,16405,37897,1,2
CM000507,93296,79038,1,1
CM000508,53300,84822,3,2
CM000509,43506,62191,3,2
CM000510,36547,54476,3,1
CM000511,84822,52609,1,3
CM000512,37897,53300,2,3
CM000513,12372,43506,1,1
CM000515,84822,85798,2,1
CM000517,19071,62191,2,2
CM000518,85798,40389,3,2
CM000519,62191,37897,1,2
CM000520,59278,24156,3,3
CM000521,62191,70503,1,1
CM000522,53300,54476,2,1
CM000523,12372,16405,3,2
CM000524,93296,36547,2,2
CM000525,21970,85798,1,1
CM000526,16405,53300,3,3
CM000528,62191,85798,3,1
CM000529,52609,53300,2,3
CM000530,40389,54476,2,2
CM000531,84822,40389,2,2
CM000532,71411,62191,2,2
CM000534,12372,85798,1,2
CM000535,79038,12372,1,1
CM000536,54476,62191,3,1
CM000537,62191,70503,1,2
CM000540,62191,52609,1,2
CM000541,36547,40389,1,2
CM000542,36547,21970,1,1
CM000543,37897,21970,3,2
CM000544,52609,36547,1,3
CM000545,53300,93296,1,3
CM000547,43506,53300,3,1
CM000548,71411,62191,3,3
CM000549,43506,21970,2,1
CM000550,62191,59278,3,1
CM000551,24156,21970,3,1
CM000552,71411,36547,2,2
CM000553,53300,59278,2,1
CM000554,40389,16405,3,2
CM000556,59278,12372,3,2
CM000557,59278,37897,3,1
CM000558,16405,71411,1,1
CM000560,12372,71411,1,3
CM000561,40389,16405,1,3
CM000562,79038,24156,1,2
CM000563,40389,54476,2,3
CM000564,37897,40389,1,3
CM000565,62191,24156,1,2
CM000566,70503,16405,2,1
CM000567,79038,93296,1,2
CM000568,70503,71411,1,2
CM000569,16405,59278,3,1
CM000570,71411,19071,1,2
CM000571,16405,62191,2,2
CM000572,85798,48648,2,2
CM000574,43506,12372,1,1
CM000575,52609,36547,2,2
CM000576,21970,24156,1,1
CM000577,85798,70503,1,3
CM000578,40389,16405,2,1
CM000579,12372,62191,3,1
CM000581,53300,16405,3,1
CM000582,93296,62191,1,1
CM000583,21970,59278,2,3
CM000585,40389,16405,1,3
CM000586,24156,53300,3,1
CM000588,48648,93296,2,1
CM000589,16405,53300,3,1
CM000590,84822,59278,1,2
CM000591,48648,24156,1,2
CM000592,54476,85798,3,1
CM000593,19071,24156,2,2
CM000594,43506,52609,1,1
CM000595,54476,53300,3,2
CM000596,53300,93296,1,3
CM000597,70503,52609,2,3
CM000598,37897,54476,1,3
CM000599,40389,43506,1,2
CM000600,93296,12372,3,2
CM000601,19071,48648,1,2
CM000603,24156,59278,2,2
CM000606,12372,19071,2,2
CM000607,52609,84822,1,3
CM000609,37897,19071,1,3
CM000612,79038,84822,2,3
CM000613,79038,54476,1,1
CM000615,93296,71411,1,3
CM000616,54476,12372,2,3
CM000617,24156,59278,2,2
CM000618,12372,36547,1,1
CM000619,93296,54476,3,3
CM000620,37897,52609,1,1
CM000621,37897,59278,1,2
CM000622,16405,70503,3,3
CM000623,70503,48648,1,1
CM000624,54476,24156,1,3
CM000625,84822,62191,2,3
CM000626,36547,53300,2,3
CM000627,53300,71411,3,1
CM000628,70503,71411,1,3
CM000629,12372,93296,3,2
CM000630,79038,59278,3,2
CM000631,84822,24156,1,1
CM000633,71411,48648,2,1
CM000634,79038,40389,3,2
CM000636,24156,85798,3,3
CM000637,16405,24156,2,3
CM000638,70503,40389,2,2
CM000639,40389,37897,2,3
CM000640,24156,19071,2,2
CM000641,71411,12372,3,3
CM000642,12372,52609,1,3
CM000643,71411,16405,3,2
CM000644,37897,16405,2,1
CM000645,85798,37897,2,2
CM000646,93296,62191,3,2
CM000647,24156,54476,2,1
CM000648,43506,40389,1,3
CM000649,21970,12372,3,2
CM000650,37897,93296,1,2
CM000652,71411,84822,3,3
CM000653,93296,12372,2,3
CM000654,36547,12372,3,3
CM000657,53300,36547,3,1
CM000658,40389,79038,2,3
CM000659,16405,71411,3,2
CM000660,19071,52609,1,2
CM000661,84822,52609,1,1
CM000663,52609,36547,2,2
CM000666,79038,93296,2,3
CM000667,52609,37897,2,1
CM000668,24156,12372,1,1
CM000670,48648,12372,2,3
CM000672,48648,85798,2,3
CM000673,21970,93296,2,2
CM000674,43506,84822,2,3
CM000675,24156,93296,2,3
CM000676,52609,85798,1,1
CM000677,53300,43506,2,2
CM000678,79038,36547,1,1
CM000679,71411,40389,3,2
CM000680,84822,48648,3,1
CM000681,54476,36547,1,3
CM000684,62191,43506,3,2
CM000685,48648,36547,3,3
CM000687,19071,54476,2,1
CM000688,48648,19071,3,2
CM000689,19071,85798,2,1
CM000690,36547,21970,1,1
CM000691,40389,70503,1,3
CM000692,52609,71411,2,1
CM000694,21970,84822,2,2
CM000695,79038,40389,3,3
CM000696,19071,53300,2,3
CM000697,52609,19071,3,3
CM000698,12372,79038,3,1
CM000699,62191,12372,3,1
CM000700,93296,48648,3,2
CM000701,59278,70503,3,3
CM000704,48648,24156,2,3
CM000705,43506,53300,2,1
CM000706,59278,71411,3,2
CM000707,93296,19071,2,3
CM000708,21970,24156,1,3
CM000709,54476,21970,2,1
CM000710,24156,54476,3,2
CM000711,52609,36547,3,1
CM000712,24156,21970,3,2
CM000713,79038,70503,1,1
CM000714,21970,84822,2,2
CM000715,79038,62191,2,1
CM000716,21970,84822,2,1
CM000717,40389,24156,3,1
CM000718,53300,21970,1,3
CM000720,62191,36547,1,1
CM000722,93296,24156,3,3
CM000724,59278,40389,1,2
CM000725,85798,48648,2,3
CM000726,84822,24156,3,2
CM000727,70503,84822,2,2
CM000728,52609,85798,3,2
CM000731,62191,40389,3,2
CM000732,40389,85798,2,3
CM000733,24156,52609,1,1
CM000735,71411,43506,3,3
CM000736,79038,16405,1,1
CM000737,19071,53300,2,3
CM000740,62191,37897,2,1
CM000741,40389,59278,3,3
CM000742,62191,93296,2,3
CM000744,48648,52609,2,3
CM000745,54476,59278,1,3
CM000746,37897,71411,2,2
CM000747,54476,40389,3,3
CM000748,84822,93296,1,3
CM000749,84822,19071,3,2
CM000750,93296,48648,2,1
CM000751,59278,79038,3,3
CM000752,19071,59278,1,1
CM000753,16405,85798,1,2
CM000754,37897,16405,1,1
CM000756,21970,24156,3,3
CM000757,21970,59278,2,3
CM000758,53300,84822,1,3
CM000761,16405,12372,3,3
CM000763,24156,37897,3,2
CM000764,19071,53300,2,2
CM000765,36547,70503,1,2
CM000766,43506,62191,3,1
CM000767,85798,52609,3,1
CM000768,43506,53300,2,2
CM000769,79038,54476,3,2
CM000770,93296,70503,3,1
CM000771,36547,79038,1,2
CM000772,85798,16405,2,3
CM000774,37897,21970,2,3
CM000775,24156,12372,2,3
CM000776,24156,16405,2,3
CM000777,84822,59278,1,2
CM000778,52609,62191,1,3
CM000780,16405,70503,3,3
CM000782,71411,19071,1,2
CM000784,16405,36547,2,3
CM000785,21970,53300,1,3
CM000787,19071,43506,1,2
CM000788,70503,85798,3,2
CM000790,24156,48648,2,3
CM000793,12372,40389,2,2
CM000795,62191,70503,2,1
CM000796,21970,79038,3,3
CM000797,16405,85798,3,3
CM000798,52609,19071,1,2
CM000799,21970,71411,1,1
CM000802,43506,40389,2,1
CM000803,59278,53300,3,3
CM000804,40389,37897,3,1
CM000805,16405,93296,3,1
CM000806,52609,40389,3,2
CM000808,40389,54476,1,1
CM000810,71411,24156,1,2
CM000811,71411,79038,1,3
CM000812,12372,48648,2,1
CM000813,48648,59278,1,3
CM000814,84822,93296,1,1
CM000815,36547,24156,2,3
CM000816,53300,84822,1,1
CM000817,12372,71411,2,1
CM000818,54476,36547,2,1
CM000820,62191,37897,1,3
CM000821,52609,16405,3,3
CM000823,79038,53300,2,1
CM000824,84822,52609,3,1
CM000825,85798,79038,3,1
CM000827,37897,79038,2,3
CM000828,24156,70503,2,1
CM000829,21970,53300,1,2
CM000830,16405,79038,1,1
CM000831,62191,85798,3,3
CM000832,24156,85798,3,2
CM000834,52609,54476,3,3
CM000835,70503,37897,2,2
CM000836,36547,40389,1,3
CM000837,48648,53300,1,1
CM000839,16405,54476,3,3
CM000840,40389,48648,2,3
CM000841,21970,36547,3,1
CM000842,19071,71411,3,1
CM000843,70503,37897,1,1
CM000844,54476,37897,1,1
CM000845,40389,85798,3,3
CM000847,48648,71411,1,2
CM000849,71411,40389,1,2
CM000850,24156,53300,2,3
CM000851,21970,84822,3,2
CM000852,53300,16405,2,3
CM000853,62191,71411,1,2
CM000855,79038,19071,1,3
CM000856,24156,40389,2,1
CM000857,37897,59278,2,2
CM000858,36547,37897,3,1
CM000859,19071,93296,1,1
CM000860,36547,12372,1,3
CM000861,79038,85798,3,3
CM000862,70503,48648,3,3
CM000864,85798,93296,1,2
CM000865,21970,71411,1,1
CM000867,59278,71411,1,2
CM000868,16405,12372,2,2
CM000870,59278,36547,1,2
CM000872,43506,12372,3,3
CM000873,53300,43506,1,3
CM000874,12372,16405,3,3
CM000875,21970,48648,3,1
CM000876,62191,48648,2,2
CM000877,52609,59278,1,3
CM000879,12372,71411,3,1
CM000880,71411,40389,2,1
CM000881,37897,52609,3,1
CM000883,70503,12372,1,2
CM000884,62191,52609,3,3
CM000885,93296,79038,3,2
CM000886,93296,62191,3,2
CM000887,54476,52609,2,2
CM000888,37897,93296,1,2
CM000889,43506,93296,2,3
CM000890,16405,12372,2,3
CM000891,21970,52609,3,1
CM000892,16405,84822,1,1
CM000893,21970,85798,1,2
CM000894,71411,24156,1,1
CM000895,84822,40389,1,1
CM000896,48648,52609,2,2
CM000897,54476,36547,1,1
CM000898,21970,71411,1,2
CM000899,12372,48648,3,2
CM000900,43506,37897,3,2
CM000901,16405,54476,1,1
CM000902,54476,43506,3,1
CM000903,52609,59278,1,1
CM000905,79038,19071,1,3
CM000906,24156,12372,2,3
CM000907,36547,37897,1,3
CM000908,84822,37897,3,3
CM000909,79038,12372,3,3
CM000910,40389,48648,1,1
CM000912,59278,62191,1,3
CM000913,40389,12372,2,3
CM000915,43506,40389,3,3
CM000916,37897,93296,1,2
CM000917,12372,19071,1,1
CM000918,71411,24156,3,1
CM000919,16405,12372,2,1
CM000920,54476,36547,3,1
CM000921,12372,19071,2,2
CM000922,62191,71411,3,2
CM000923,59278,43506,2,2
CM000924,93296,52609,2,3
CM000925,59278,85798,3,3
CM000926,70503,16405,2,1
CM000927,70503,79038,2,2
CM000928,62191,79038,2,2
CM000929,62191,93296,2,2
CM000930,16405,19071,2,1
CM000931,54476,85798,2,3
CM000933,62191,19071,3,1
CM000934,24156,84822,2,1
CM000935,70503,79038,2,2
CM000937,62191,48648,2,2
CM000938,52609,19071,1,3
CM000940,54476,59278,2,2
CM000941,21970,53300,1,3
CM000942,93296,43506,3,2
CM000943,85798,79038,3,1
CM000944,85798,43506,3,2
CM000945,19071,70503,2,3
CM000947,53300,24156,1,3
CM000948,40389,21970,3,1
CM000949,52609,85798,1,3
CM000950,62191,70503,2,2
CM000951,62191,43506,1,1
CM000952,53300,37897,2,3
CM000953,59278,36547,1,1
CM000954,59278,62191,2,2
CM000955,54476,40389,3,3
CM000957,71411,59278,3,3
CM000958,62191,59278,2,2
CM000959,70503,40389,1,2
CM000960,62191,40389,3,3
CM000961,37897,85798,2,2
CM000962,59278,93296,3,2
CM000963,54476,84822,2,1
CM000964,19071,24156,3,2
CM000965,24156,12372,1,2
CM000966,53300,62191,2,3
CM000967,70503,79038,2,3
CM000968,48648,24156,1,2
CM000969,19071,54476,1,1
CM000970,19071,12372,3,3
CM000971,53300,52609,1,1
CM000972,62191,53300,3,2
CM000973,21970,40389,3,2
CM000974,24156,70503,3,2
CM000975,85798,43506,2,2
CM000976,54476,84822,3,3
CM000977,40389,53300,2,1
CM000978,36547,19071,1,3
CM000979,85798,19071,3,2
CM000980,12372,37897,2,2
CM000981,54476,40389,2,2
CM000982,70503,24156,1,2
CM000983,12372,79038,2,1
CM000987,24156,62191,3,3
CM000988,79038,54476,2,2
CM000989,21970,84822,2,3
CM000990,62191,54476,1,2
CM000991,36547,16405,1,2
CM000992,37897,52609,1,1
CM000993,52609,36547,2,3
CM000994,48648,52609,2,3
CM000995,79038,53300,2,2
CM000996,52609,12372,2,3
CM000997,85798,21970,2,2
CM000998,16405,36547,2,2
CM000999,52609,59278,2,1
